date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:31	296/296	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2020:35:30%20GMT	http://localhost/robots.txt		(from )
13:35:34	82119/82119	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2020:35:31%20GMT	http://localhost/goat/	C:/My%20Web%20Sites/Goat/localhost/goat/index.html	(from )
13:35:34	6051/6051	---M--	200	added ('OK')	text/css	etag:%2217a3-61533dd483e7f%22	http://localhost/goat/wp-content/themes/designocracy/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/themes/designocracy/style.minc141.css	(from http://localhost/goat/)
13:35:35	15672/15672	---M--	200	added ('OK')	text/css	etag:%223d38-61533dd489416%22	http://localhost/goat/wp-content/themes/designocracy/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/themes/designocracy/theme.minc141.css	(from http://localhost/goat/)
13:35:35	1631/1631	---M--	200	added ('OK')	application/rss+xml	etag:%2233b5f6d12b8102d3133d7827c95284a6%22	http://localhost/goat/feed/	C:/My%20Web%20Sites/Goat/localhost/goat/feed/index.html	(from http://localhost/goat/)
13:35:36	118630/118630	---M--	200	added ('OK')	text/css	etag:%221cf66-61533e0f01265%22	http://localhost/goat/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.3	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor/assets/css/frontend-lite.mince8e.css	(from http://localhost/goat/)
13:35:37	1217/1217	---M--	200	added ('OK')	text/css	etag:%224c1-61536e16a88d1%22	http://localhost/goat/wp-content/uploads/elementor/css/post-8.css?ver=1712175314	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/elementor/css/post-83d22.css	(from http://localhost/goat/)
13:35:37	1616/1616	---M--	200	added ('OK')	application/rss+xml	etag:%2233b5f6d12b8102d3133d7827c95284a6%22	http://localhost/goat/comments/feed/	C:/My%20Web%20Sites/Goat/localhost/goat/comments/feed/index.html	(from http://localhost/goat/)
13:35:37	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-61533e0fac183%22	http://localhost/goat/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost/goat/)
13:35:37	11530/11530	---M--	200	added ('OK')	text/css	etag:%222d0a-61533e7d2e633%22	http://localhost/goat/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.7	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minac9e.css	(from http://localhost/goat/)
13:35:37	39603/39603	---M--	200	added ('OK')	text/css	etag:%229ab3-6153733682080%22	http://localhost/goat/wp-content/uploads/elementor/css/global.css?ver=1712176690	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/elementor/css/globalab82.css	(from http://localhost/goat/)
13:35:39	31375/31375	---M--	200	added ('OK')	text/css	etag:%227a8f-6155f82e664c7%22	http://localhost/goat/wp-content/uploads/elementor/css/post-27.css?ver=1712349822	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/elementor/css/post-27b0a9.css	(from http://localhost/goat/)
13:35:39	7568/7568	---M--	200	added ('OK')	text/css	etag:%221d90-6155f7c2c21fc%22	http://localhost/goat/wp-content/uploads/elementor/css/post-10.css?ver=1712349709	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/elementor/css/post-10e064.css	(from http://localhost/goat/)
13:35:39	1888/1888	---M--	200	added ('OK')	text/css	etag:%22760-6155f7c2d0e50%22	http://localhost/goat/wp-content/uploads/elementor/css/post-79.css?ver=1712349709	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/elementor/css/post-79e064.css	(from http://localhost/goat/)
13:35:39	3079/3079	---M--	200	added ('OK')	text/css	etag:%22c07-6155b482b57df%22	http://localhost/goat/wp-content/uploads/elementor/css/post-122.css?ver=1712331657	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/elementor/css/post-1226c1d.css	(from http://localhost/goat/)
13:35:42	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%223509-5fdb1cc689d00%22	http://localhost/goat/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Goat/localhost/goat/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/goat/)
13:35:44	792/792	---M--	200	added ('OK')	text/xml	date:Fri,%2025%20Apr%202025%2020:35:43%20GMT	http://localhost/goat/xmlrpc.php?rsd	C:/My%20Web%20Sites/Goat/localhost/goat/xmlrpc0db0.php	(from http://localhost/goat/)
13:35:46	1995/1995	---M--	200	added ('OK')	application/json	date:Fri,%2025%20Apr%202025%2020:35:44%20GMT	http://localhost/goat/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgoat%2F	C:/My%20Web%20Sites/Goat/localhost/goat/wp-json/oembed/1.0/embedcbed.json	(from http://localhost/goat/)
13:35:46	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2215601-60404b176d800%22	http://localhost/goat/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Goat/localhost/goat/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/goat/)
13:35:47	2138/2138	---M--	200	added ('OK')	text/xml	date:Fri,%2025%20Apr%202025%2020:35:46%20GMT	http://localhost/goat/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgoat%2F&format=xml	C:/My%20Web%20Sites/Goat/localhost/goat/wp-json/oembed/1.0/embed9eff	(from http://localhost/goat/)
13:35:47	29401/29401	---M--	200	added ('OK')	text/css	etag:%2272d9-61533e7d44784%22	http://localhost/goat/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from http://localhost/goat/)
13:35:50	40138/40138	---MC-	200	added ('OK')	application/json	date:Fri,%2025%20Apr%202025%2020:35:41%20GMT	http://localhost/goat/wp-json/wp/v2/pages/27	C:/My%20Web%20Sites/Goat/localhost/goat/wp-json/wp/v2/pages/27.json	(from http://localhost/goat/)
13:35:54	40699/40699	---M--	200	added ('OK')	image/png	etag:%229efb-61534186ef22e%22	http://localhost/goat/wp-content/uploads/2024/04/goat-logo.png	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/2024/04/goat-logo.png	(from http://localhost/goat/)
13:36:00	58327/58327	---M--	200	added ('OK')	image/png	etag:%22e3d7-61534fdbf14bf%22	http://localhost/goat/wp-content/uploads/2024/04/Group-17.png	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/2024/04/Group-17.png	(from http://localhost/goat/)
13:36:11	141855/141855	---M--	200	added ('OK')	image/png	etag:%2222a1f-615351d96b82b%22	http://localhost/goat/wp-content/uploads/2024/04/goatwithtransistors.png	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/2024/04/goatwithtransistors.png	(from http://localhost/goat/)
13:36:11	1749/1749	---M--	200	added ('OK')	image/png	etag:%226d5-615373b0ac21f%22	http://localhost/goat/wp-content/uploads/2024/04/Rectangle-20-1-e1712094275252.png	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/2024/04/Rectangle-20-1-e1712094275252.png	(from http://localhost/goat/)
13:36:15	202515/202515	---MC-	200	added ('OK')	application/json	date:Fri,%2025%20Apr%202025%2020:35:41%20GMT	http://localhost/goat/wp-json/	C:/My%20Web%20Sites/Goat/localhost/goat/wp-json/index.html	(from http://localhost/goat/)
13:36:18	16617/16617	---M--	200	added ('OK')	image/png	etag:%2240e9-6154c2ea81b3a%22	http://localhost/goat/wp-content/uploads/2024/04/logo-3.png	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/2024/04/logo-3.png	(from http://localhost/goat/)
13:36:18	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-61533e0f81166%22	http://localhost/goat/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.20.3	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor/assets/lib/animations/animations.mince8e.css	(from http://localhost/goat/)
13:36:19	3164/3164	---M--	200	added ('OK')	application/javascript	etag:%22c5c-61533dd47cf80%22	http://localhost/goat/wp-content/themes/designocracy/assets/js/hello-frontend.min.js?ver=1.0.0	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/themes/designocracy/assets/js/hello-frontend.min8a54.js	(from http://localhost/goat/)
13:36:23	139740/139740	---M--	200	added ('OK')	image/png	etag:%22221dc-61537011d00f8%22	http://localhost/goat/wp-content/uploads/2024/04/GOAT-token-qm64suus2p2wran2bmod7yvfbmwtro57jq5irhjte0.png	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/uploads/2024/04/GOAT-token-qm64suus2p2wran2bmod7yvfbmwtro57jq5irhjte0.png	(from http://localhost/goat/)
13:36:23	25202/25202	---M--	200	added ('OK')	application/javascript	etag:%226272-61533e7d7c259%22	http://localhost/goat/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from http://localhost/goat/)
13:36:24	1801/1801	---M--	200	added ('OK')	application/javascript	etag:%22709-61533e0fa6cd5%22	http://localhost/goat/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js?ver=0.2.1	C:/My%20Web%20Sites/Goat/localhost/goat/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min3958.js	(from http://localhost/goat/)
