date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:42	296/296	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2020:26:41%20GMT	http://localhost/robots.txt		(from )
13:26:46	125547/125547	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2020:26:42%20GMT	http://localhost/bianckes/	C:/My%20Web%20Sites/bianckes/localhost/bianckes/index.html	(from )
13:26:46	6051/6051	---M--	200	added ('OK')	text/css	etag:%2217a3-6164cfb49776b%22	http://localhost/bianckes/wp-content/themes/designocracy/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/themes/designocracy/style.minc141.css	(from http://localhost/bianckes/)
13:26:47	15672/15672	---M--	200	added ('OK')	text/css	etag:%223d38-6164cfb49eff5%22	http://localhost/bianckes/wp-content/themes/designocracy/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/themes/designocracy/theme.minc141.css	(from http://localhost/bianckes/)
13:26:47	1695/1695	---M--	200	added ('OK')	application/rss+xml	etag:%22ae0e0453e654401192c8f7a1b8100705%22	http://localhost/bianckes/index.php/feed/	C:/My%20Web%20Sites/bianckes/localhost/bianckes/index.php/feed/index.html	(from http://localhost/bianckes/)
13:26:47	118945/118945	---M--	200	added ('OK')	text/css	etag:%221d0a1-6164d001f1977%22	http://localhost/bianckes/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.0	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/plugins/elementor/assets/css/frontend-lite.minde8f.css	(from http://localhost/bianckes/)
13:26:49	1217/1217	---M--	200	added ('OK')	text/css	etag:%224c1-6164d4e97e78f%22	http://localhost/bianckes/wp-content/uploads/elementor/css/post-8.css?ver=1713371147	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/uploads/elementor/css/post-8f082.css	(from http://localhost/bianckes/)
13:26:49	1652/1652	---M--	200	added ('OK')	application/rss+xml	etag:%22ae0e0453e654401192c8f7a1b8100705%22	http://localhost/bianckes/index.php/comments/feed/	C:/My%20Web%20Sites/bianckes/localhost/bianckes/index.php/comments/feed/index.html	(from http://localhost/bianckes/)
13:26:49	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-6164d0031a135%22	http://localhost/bianckes/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost/bianckes/)
13:26:49	11530/11530	---M--	200	added ('OK')	text/css	etag:%222d0a-6164d41307856%22	http://localhost/bianckes/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.7	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minac9e.css	(from http://localhost/bianckes/)
13:26:49	39603/39603	---M--	200	added ('OK')	text/css	etag:%229ab3-6164d4ea6c42d%22	http://localhost/bianckes/wp-content/uploads/elementor/css/global.css?ver=1713371148	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/uploads/elementor/css/globaldb28.css	(from http://localhost/bianckes/)
13:26:51	27624/27624	---M--	200	added ('OK')	text/css	etag:%226be8-61677f6b14222%22	http://localhost/bianckes/wp-content/uploads/elementor/css/post-21.css?ver=1713554355	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/uploads/elementor/css/post-21154e.css	(from http://localhost/bianckes/)
13:26:51	9224/9224	---M--	200	added ('OK')	text/css	etag:%222408-61ef3098bb290%22	http://localhost/bianckes/wp-content/uploads/elementor/css/post-14.css?ver=1722879046	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/uploads/elementor/css/post-141f0f.css	(from http://localhost/bianckes/)
13:26:51	17158/17158	---M--	200	added ('OK')	text/css	etag:%224306-61677c169cfb9%22	http://localhost/bianckes/wp-content/uploads/elementor/css/post-100.css?ver=1713553462	C:/My%20Web%20Sites/bianckes/localhost/bianckes/wp-content/uploads/elementor/css/post-100a619.css	(from http://localhost/bianckes/)
