date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:35	296/296	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2020:08:34%20GMT	http://localhost/robots.txt		(from )
13:08:37	71963/71963	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2020:08:35%20GMT	http://localhost/fashionality/	C:/My%20Web%20Sites/fashionality/localhost/fashionality/index.html	(from )
13:08:38	6051/6051	---M--	200	added ('OK')	text/css	etag:%2217a3-611fbd7661300%22	http://localhost/fashionality/wp-content/themes/designocracy/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/themes/designocracy/style.minc141.css	(from http://localhost/fashionality/)
13:08:38	15672/15672	---M--	200	added ('OK')	text/css	etag:%223d38-611fbd7665876%22	http://localhost/fashionality/wp-content/themes/designocracy/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/themes/designocracy/theme.minc141.css	(from http://localhost/fashionality/)
13:08:38	118630/118630	---M--	200	added ('OK')	text/css	etag:%221cf66-611fbd04827be%22	http://localhost/fashionality/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.19.2	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/plugins/elementor/assets/css/frontend-lite.min34a7.css	(from http://localhost/fashionality/)
13:08:39	1679/1679	---M--	200	added ('OK')	application/rss+xml	etag:%2297368766058ec9ea3edf100197257d18%22	http://localhost/fashionality/feed/	C:/My%20Web%20Sites/fashionality/localhost/fashionality/feed/index.html	(from http://localhost/fashionality/)
13:08:39	1217/1217	---M--	200	added ('OK')	text/css	etag:%224c1-611fbf68bdf30%22	http://localhost/fashionality/wp-content/uploads/elementor/css/post-7.css?ver=1708623731	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/uploads/elementor/css/post-77e19.css	(from http://localhost/fashionality/)
13:08:39	1648/1648	---M--	200	added ('OK')	application/rss+xml	etag:%2297368766058ec9ea3edf100197257d18%22	http://localhost/fashionality/comments/feed/	C:/My%20Web%20Sites/fashionality/localhost/fashionality/comments/feed/index.html	(from http://localhost/fashionality/)
13:08:39	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-611fbd053273a%22	http://localhost/fashionality/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost/fashionality/)
13:08:40	11530/11530	---M--	200	added ('OK')	text/css	etag:%222d0a-611fbcf2c66ee%22	http://localhost/fashionality/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.7	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minac9e.css	(from http://localhost/fashionality/)
13:08:40	39603/39603	---M--	200	added ('OK')	text/css	etag:%229ab3-611fbf6933a4e%22	http://localhost/fashionality/wp-content/uploads/elementor/css/global.css?ver=1708623731	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/uploads/elementor/css/global7e19.css	(from http://localhost/fashionality/)
13:08:41	18006/18006	---M--	200	added ('OK')	text/css	etag:%224656-61ef2d0810374%22	http://localhost/fashionality/wp-content/uploads/elementor/css/post-22.css?ver=1722878089	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/uploads/elementor/css/post-224275.css	(from http://localhost/fashionality/)
13:08:42	2415/2415	---M--	200	added ('OK')	text/css	etag:%2296f-61286e387358e%22	http://localhost/fashionality/wp-content/uploads/elementor/css/post-14.css?ver=1709220412	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/uploads/elementor/css/post-1446ec.css	(from http://localhost/fashionality/)
13:08:42	4860/4860	---M--	200	added ('OK')	text/css	etag:%2212fc-6121066696360%22	http://localhost/fashionality/wp-content/uploads/elementor/css/post-101.css?ver=1708711507	C:/My%20Web%20Sites/fashionality/localhost/fashionality/wp-content/uploads/elementor/css/post-101d727.css	(from http://localhost/fashionality/)
