date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:11	296/296	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2022:03:11%20GMT	http://localhost/robots.txt		(from )
15:03:14	75396/75396	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2022:03:11%20GMT	http://localhost/spiritfx/	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/index.html	(from )
15:03:14	559/559	---M--	200	added ('OK')	text/css	etag:%2222f-60abff670e34b%22	http://localhost/spiritfx/wp-content/themes/designocracy-child/style.css?ver=5953	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/wp-content/themes/designocracy-child/styled61b.css	(from http://localhost/spiritfx/)
15:03:14	6051/6051	---M--	200	added ('OK')	text/css	etag:%2217a3-60abff319bea6%22	http://localhost/spiritfx/wp-content/themes/designocracy/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/wp-content/themes/designocracy/style.minc141.css	(from http://localhost/spiritfx/)
15:03:14	15672/15672	---M--	200	added ('OK')	text/css	etag:%223d38-60abff31a0343%22	http://localhost/spiritfx/wp-content/themes/designocracy/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/wp-content/themes/designocracy/theme.minc141.css	(from http://localhost/spiritfx/)
15:03:15	1655/1655	---M--	200	added ('OK')	application/rss+xml	etag:%2255f4c27cecab14f874ab49685cbcdc0f%22	http://localhost/spiritfx/feed/	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/feed/index.html	(from http://localhost/spiritfx/)
15:03:15	117332/117332	---M--	200	added ('OK')	text/css	etag:%221ca54-60abfee36143d%22	http://localhost/spiritfx/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from http://localhost/spiritfx/)
15:03:17	1632/1632	---M--	200	added ('OK')	application/rss+xml	etag:%2255f4c27cecab14f874ab49685cbcdc0f%22	http://localhost/spiritfx/comments/feed/	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/comments/feed/index.html	(from http://localhost/spiritfx/)
15:03:17	1217/1217	---M--	200	added ('OK')	text/css	etag:%224c1-60ac00b89537c%22	http://localhost/spiritfx/wp-content/uploads/elementor/css/post-7.css?ver=1700669803	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/wp-content/uploads/elementor/css/post-7991f.css	(from http://localhost/spiritfx/)
15:03:17	19533/19533	---M--	200	added ('OK')	text/css	etag:%224c4d-60abfee3e20de%22	http://localhost/spiritfx/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/My%20Web%20Sites/spiritfx/localhost/spiritfx/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from http://localhost/spiritfx/)
