date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:17	296/296	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2019:39:17%20GMT	http://localhost/robots.txt		(from )
12:39:21	158694/158694	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2019:39:17%20GMT	http://localhost/the%20art%20creatives/	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/index.html	(from )
12:39:21	559/559	---M--	200	added ('OK')	text/css	etag:%2222f-61b5568ef8b1e%22	http://localhost/the%20art%20creatives/wp-content/themes/designocracy-child/style.css?ver=9683	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/themes/designocracy-child/style8528.css	(from http://localhost/the%20art%20creatives/)
12:39:21	6051/6051	---M--	200	added ('OK')	text/css	etag:%2217a3-61b5567bbb114%22	http://localhost/the%20art%20creatives/wp-content/themes/designocracy/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/themes/designocracy/style.minc141.css	(from http://localhost/the%20art%20creatives/)
12:39:22	15672/15672	---M--	200	added ('OK')	text/css	etag:%223d38-61b5567bbb58b%22	http://localhost/the%20art%20creatives/wp-content/themes/designocracy/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/themes/designocracy/theme.minc141.css	(from http://localhost/the%20art%20creatives/)
12:39:22	146740/146740	---M--	200	added ('OK')	text/css	etag:%2223d34-61bbaa56204c3%22	http://localhost/the%20art%20creatives/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.2	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/plugins/elementor/assets/css/frontend-lite.minb5c8.css	(from http://localhost/the%20art%20creatives/)
12:39:24	1217/1217	---M--	200	added ('OK')	text/css	etag:%224c1-61be733b665ff%22	http://localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-9.css?ver=1719529679	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-90774.css	(from http://localhost/the%20art%20creatives/)
12:39:24	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-61bbaa5754553%22	http://localhost/the%20art%20creatives/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost/the%20art%20creatives/)
12:39:25	741/741	---M--	200	added ('OK')	application/rss+xml	etag:%2217cadec929d66d4d2eb4dad3375f842c%22	http://localhost/the%20art%20creatives/index.php/comments/feed/	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/index.php/comments/feed/index.html	(from http://localhost/the%20art%20creatives/)
12:39:25	11053/11053	---M--	200	added ('OK')	text/css	etag:%222b2d-61bbacc04afb5%22	http://localhost/the%20art%20creatives/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.22.1	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min4d52.css	(from http://localhost/the%20art%20creatives/)
12:39:25	40242/40242	---M--	200	added ('OK')	text/css	etag:%229d32-61be733bfceaa%22	http://localhost/the%20art%20creatives/wp-content/uploads/elementor/css/global.css?ver=1719529679	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/uploads/elementor/css/global0774.css	(from http://localhost/the%20art%20creatives/)
12:39:26	48329/48329	---M--	200	added ('OK')	text/css	etag:%22bcc9-62ded288562e8%22	http://localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-24.css?ver=1739346470	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-2429d8.css	(from http://localhost/the%20art%20creatives/)
12:39:28	7216/7216	---M--	200	added ('OK')	text/css	etag:%221c30-6230ecee15606%22	http://localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-19.css?ver=1727396367	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-195333.css	(from http://localhost/the%20art%20creatives/)
12:39:28	3881/3881	---M--	200	added ('OK')	application/rss+xml	etag:%2217cadec929d66d4d2eb4dad3375f842c%22	http://localhost/the%20art%20creatives/index.php/feed/	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/index.php/feed/index.html	(from http://localhost/the%20art%20creatives/)
12:39:28	12634/12634	---M--	200	added ('OK')	text/css	etag:%22315a-61bf60ac729f7%22	http://localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-289.css?ver=1719593416	C:/My%20Web%20Sites/theartcreatives/localhost/the%20art%20creatives/wp-content/uploads/elementor/css/post-28936d8.css	(from http://localhost/the%20art%20creatives/)
